datetime,id,rank
2018-03-08 23:39:19.231371,3,66
2018-03-08 23:39:19.231371,4,103
2018-03-08 23:39:19.231371,5,1442
2018-03-08 23:39:19.231371,6,7670
2018-03-08 23:39:19.231371,7,153
2018-03-08 23:39:19.231371,8,173
2018-03-08 23:39:19.231371,9,1982
2018-03-08 23:39:19.231371,10,24
2018-03-08 23:39:19.231371,11,211
2018-03-08 23:39:19.231371,12,331
2018-03-08 23:39:19.231371,13,1149
2018-03-08 23:39:19.231371,14,171
2018-03-08 23:39:19.231371,15,81
2018-03-08 23:39:19.231371,16,170
2018-03-08 23:39:19.231371,17,203
2018-03-08 23:39:19.231371,18,59
2018-03-08 23:39:19.231371,19,205
2018-03-08 23:39:19.231371,20,2640
2018-03-08 23:39:19.231371,21,10480
2018-03-08 23:39:19.231371,22,1018
2018-03-08 23:39:19.231371,23,1655
2018-03-08 23:39:19.231371,24,9633
2018-03-08 23:39:19.231371,25,4473
2018-03-08 23:39:19.231371,26,13863
2018-03-08 23:39:19.231371,27,80
2018-03-08 23:39:19.231371,28,10249
2018-03-08 23:39:19.231371,29,160
2018-03-08 23:39:19.231371,30,109
2018-03-08 23:39:19.231371,31,157
2018-03-08 23:39:19.231371,32,695
2018-03-08 23:39:19.231371,33,1306
2018-03-08 23:39:19.231371,34,32044
2018-03-08 23:39:19.231371,35,184
2018-03-08 23:39:19.231371,36,316
2018-03-08 23:39:19.231371,37,64
2018-03-08 23:39:19.231371,38,370
2018-03-08 23:39:19.231371,39,977
2018-03-08 23:39:19.231371,40,1227
2018-03-08 23:39:19.231371,41,3876
2018-03-08 23:39:19.231371,42,240
2018-03-08 23:39:19.231371,43,403
2018-03-08 23:39:19.231371,44,282
2018-03-08 23:39:19.231371,45,2971
2018-03-08 23:39:19.231371,46,1090
2018-03-08 23:39:19.231371,47,476
2018-03-08 23:39:19.231371,48,187
2018-03-08 23:39:19.231371,49,31
2018-03-08 23:39:19.231371,50,1580
2018-03-08 23:39:19.231371,52,334
2018-03-08 23:39:19.231371,53,378
2018-03-08 23:39:19.231371,54,981
2018-03-08 23:39:19.231371,55,159
2018-03-08 23:39:19.231371,56,4516
2018-03-08 23:39:19.231371,57,1983
2018-03-08 23:39:19.231371,58,7963
2018-03-08 23:39:19.231371,59,5836
2018-03-08 23:39:19.231371,60,1604
2018-03-08 23:39:19.231371,61,6809
2018-03-08 23:39:19.231371,62,98
2018-03-08 23:39:19.231371,63,303
2018-03-08 23:39:19.231371,64,254
2018-03-08 23:39:19.231371,65,129
2018-03-08 23:39:19.231371,66,831
2018-03-08 23:39:19.231371,67,946
2018-03-08 23:39:19.231371,68,110
2018-03-08 23:39:19.231371,69,77
2018-03-08 23:39:19.231371,70,990
2018-03-08 23:39:19.231371,71,1489
2018-03-08 23:39:19.231371,72,233
2018-03-08 23:39:19.231371,73,56
2018-03-08 23:39:19.231371,74,4662
2018-03-08 23:39:19.231371,75,17487
2018-03-08 23:39:19.231371,76,1142
2018-03-08 23:39:19.231371,78,644
2018-03-08 23:39:19.231371,79,1329
2018-03-09 23:58:45.329740,0,459
2018-03-09 23:58:45.329740,1,232
2018-03-09 23:58:45.329740,2,645
2018-03-09 23:58:45.329740,3,66
2018-03-09 23:58:45.329740,4,103
2018-03-09 23:58:45.329740,5,1411
2018-03-09 23:58:45.329740,6,7647
2018-03-09 23:58:45.329740,7,154
2018-03-09 23:58:45.329740,8,172
2018-03-09 23:58:45.329740,9,2007
2018-03-09 23:58:45.329740,10,24
2018-03-09 23:58:45.329740,11,210
2018-03-09 23:58:45.329740,12,332
2018-03-09 23:58:45.329740,13,1047
2018-03-09 23:58:45.329740,14,174
2018-03-09 23:58:45.329740,15,81
2018-03-09 23:58:45.329740,16,169
2018-03-09 23:58:45.329740,17,203
2018-03-09 23:58:45.329740,18,59
2018-03-09 23:58:45.329740,19,205
2018-03-09 23:58:45.329740,20,2650
2018-03-09 23:58:45.329740,21,10798
2018-03-09 23:58:45.329740,22,1007
2018-03-09 23:58:45.329740,23,1691
2018-03-09 23:58:45.329740,24,9568
2018-03-09 23:58:45.329740,25,4404
2018-03-09 23:58:45.329740,26,13865
2018-03-09 23:58:45.329740,27,80
2018-03-09 23:58:45.329740,28,10214
2018-03-09 23:58:45.329740,29,159
2018-03-09 23:58:45.329740,30,109
2018-03-09 23:58:45.329740,31,156
2018-03-09 23:58:45.329740,32,696
2018-03-09 23:58:45.329740,33,1319
